Stock,BroodYear,Escapement,lnrs,a,b,wt
Alagnak,1982,610215,0.23709880604735345,1.22,3.15e-7,-0.7906834689526464
Alagnak,1983,245361,0.621086452890132,1.22,3.15e-7,-0.5216248321098681
Alagnak,1984,549193.5,1.5026910257023638,1.22,3.15e-7,0.4556869782023638
Alagnak,1985,300976.5,1.6987021725413056,1.22,3.15e-7,0.5735097700413057
Alagnak,1986,586959,1.2419739689790794,1.22,3.15e-7,0.20686605397907942
Alagnak,1987,393235.5,0.672512914635943,1.22,3.15e-7,-0.423617902864057
Alagnak,1988,496306.5,0.942582539285802,1.22,3.15e-7,-0.1210809132141979
Alagnak,1989,501738,1.698300957665945,1.22,3.15e-7,0.636348427665945
Alagnak,1990,430338,1.0929033518481877,1.22,3.15e-7,0.00845982184818772
Alagnak,1991,707851.95,1.579318612987465,1.22,3.15e-7,0.5822919772374651
Alagnak,1992,577939.65,-1.129194136781853,1.22,3.15e-7,-2.1671431470318527
Alagnak,1993,887336.25,0.5296367234525098,1.22,3.15e-7,-0.4108523577974902
Alagnak,1994,618464.25,0.9276611004604335,1.22,3.15e-7,-0.0975226607895664
Alagnak,1995,550068.15,1.9577530434822907,1.22,3.15e-7,0.9110245107322907
Alagnak,1996,782212.5,0.5974226746224656,1.22,3.15e-7,-0.3761803878775344
Alagnak,1997,556193.25,0.9167233734761738,1.22,3.15e-7,-0.1280757527738262
Alagnak,1998,643110,1.4630915978125998,1.22,3.15e-7,0.4456712478125997
Alagnak,1999,1182180,1.1481117040424262,1.22,3.15e-7,0.30049840404242634
Alagnak,2000,1150815,2.1369337705698412,1.22,3.15e-7,1.2794404955698413
Alagnak,2001,680850,0.9015292337861548,1.22,3.15e-7,-0.10400301621384511
Alagnak,2002,766962,1.5810524396669972,1.22,3.15e-7,0.6026454696669972
Alagnak,2003,3676146,0.600458619439907,1.22,3.15e-7,0.538444609439907
Alagnak,2004,5396592,-0.7637098142694039,1.22,3.15e-7,-0.28378333426940383
Alagnak,2005,4218990,-0.39567468554182744,1.22,3.15e-7,-0.2866928355418275
Alagnak,2006,1773966,0.3187477548146681,1.22,3.15e-7,-0.3424529551853319
Alagnak,2007,2466414,-0.10991760547478507,1.22,3.15e-7,-0.552997195474785
Alagnak,2008,2180502,-0.12477181470959933,1.22,3.15e-7,-0.6579136847095993
Alagnak,2009,970818,0.36977188636848335,1.22,3.15e-7,-0.5444204436315166
Alagnak,2010,1187730,1.6996146208193297,1.22,3.15e-7,0.8537495708193297
Alagnak,2011,883794,1.9429038457722174,1.22,3.15e-7,1.0012989557722174
Alagnak,2012,861747,1.1884712705643992,1.22,3.15e-7,0.2399215755643992
Alagnak,2013,1095950,1.2765825091211782,1.22,3.15e-7,0.40180675912117825
Alagnak,2014,189452,2.4896764855593525,1.22,3.15e-7,1.3293538655593524
Alagnak,2015,5452026,-0.15039863119961197,1.22,3.15e-7,0.3469895588003882
Alagnak,2016,1677769,NA,1.22,3.15e-7,NA
Alagnak,2017,2041824,NA,1.22,3.15e-7,NA
Alagnak,2018,1581426,NA,1.22,3.15e-7,NA
Alagnak,2019,820458,NA,1.22,3.15e-7,NA
Alagnak,2020,2386518,NA,1.22,3.15e-7,NA
Alagnak,2021,3236904,NA,1.22,3.15e-7,NA
Alagnak,2022,1668222,NA,1.22,3.15e-7,NA
Alagnak,2023,1099050,NA,1.22,3.15e-7,NA
Egegik,1955,NA,NA,1.41,-1.29e-7,NA
Egegik,1956,NA,NA,1.41,-1.29e-7,NA
Egegik,1957,NA,NA,1.41,-1.29e-7,NA
Egegik,1958,NA,NA,1.41,-1.29e-7,NA
Egegik,1959,NA,NA,1.41,-1.29e-7,NA
Egegik,1960,NA,NA,1.41,-1.29e-7,NA
Egegik,1961,NA,NA,1.41,-1.29e-7,NA
Egegik,1962,NA,NA,1.41,-1.29e-7,NA
Egegik,1963,997602,-0.0037456363810325823,1.41,-1.29e-7,-1.5424362943810326
Egegik,1964,849576,0.8246136084006305,1.41,-1.29e-7,-0.6949816955993694
Egegik,1965,1444608,0.5028213726644506,1.41,-1.29e-7,-1.0935330593355495
Egegik,1966,804246,0.9397163949822732,1.41,-1.29e-7,-0.5740313390177266
Egegik,1967,636864,0.9406567594287294,1.41,-1.29e-7,-0.5514986965712705
Egegik,1968,338654,0.10741498905716229,1.41,-1.29e-7,-1.3462713769428376
Egegik,1969,1015554,0.9982472721606742,1.41,-1.29e-7,-0.5427591938393258
Egegik,1970,919734,0.2681436539002784,1.41,-1.29e-7,-1.2605020320997216
Egegik,1971,634014,1.4491865132918385,1.41,-1.29e-7,-0.042601292708161376
Egegik,1972,546402,1.6725197277966888,1.41,-1.29e-7,0.1920338697966888
Egegik,1973,328842,1.4849036723415503,1.41,-1.29e-7,0.03248305434155041
Egegik,1974,1275630,0.6490939713529387,1.41,-1.29e-7,-0.9254622986470613
Egegik,1975,1173840,0.9516326034206561,1.41,-1.29e-7,-0.6097927565793437
Egegik,1976,509160,2.174721968382974,1.41,-1.29e-7,0.6990403283829743
Egegik,1977,692514,1.7947695641318584,1.41,-1.29e-7,0.29543525813185845
Egegik,1978,895698,2.404190894444345,1.41,-1.29e-7,0.8786458524443452
Egegik,1979,1032042,1.364641286165273,1.41,-1.29e-7,-0.178492131834727
Egegik,1980,1060860,2.047784446039987,1.41,-1.29e-7,0.5009335060399873
Egegik,1981,694680,2.05837451062675,1.41,-1.29e-7,0.55876079062675
Egegik,1982,1034628,1.827721586804954,1.41,-1.29e-7,0.2842545748049541
Egegik,1983,792282,2.613460534236122,1.41,-1.29e-7,1.101256156236122
Egegik,1984,1165345,2.3122271048878056,1.41,-1.29e-7,0.7518975998878057
Egegik,1985,1095192,1.7626588276949138,1.41,-1.29e-7,0.21137905969491388
Egegik,1986,1152180,2.512088399665703,1.41,-1.29e-7,0.9534571796657032
Egegik,1987,1273553,3.005903078840775,1.41,-1.29e-7,1.4316147418407748
Egegik,1988,1612745,2.49068757183024,1.41,-1.29e-7,0.8726434668302401
Egegik,1989,1611566,1.8387374207785612,1.41,-1.29e-7,0.22084540677856124
Egegik,1990,2191582,1.9917278740144693,1.41,-1.29e-7,0.2990137960144694
Egegik,1991,2786925,1.2725294192057017,1.41,-1.29e-7,-0.4969839057942982
Egegik,1992,1945632,1.4941258256215562,1.41,-1.29e-7,-0.16686070237844386
Egegik,1993,1517000,0.24390684721813216,1.41,-1.29e-7,-1.361786152781868
Egegik,1994,1897977,1.4360845282368062,1.41,-1.29e-7,-0.2187545047631938
Egegik,1995,1266692,1.7815403925822701,1.41,-1.29e-7,0.2081371245822703
Egegik,1996,1076460,1.352156333329239,1.41,-1.29e-7,-0.19670700667076102
Egegik,1997,1104004,1.7032699232913413,1.41,-1.29e-7,0.15085340729134145
Egegik,1998,1110938,0.1342167041030817,1.41,-1.29e-7,-1.419094297896918
Egegik,1999,1728397,2.0181067254536242,1.41,-1.29e-7,0.3851435124536242
Egegik,2000,1032138,2.456433399598445,1.41,-1.29e-7,0.9132875975984451
Egegik,2001,968872,1.5973553552351771,1.41,-1.29e-7,0.06237086723517726
Egegik,2002,1036092,1.6307810112465393,1.41,-1.29e-7,0.08712514324653942
Egegik,2003,1152120,2.0333202533592263,1.41,-1.29e-7,0.47469677335922644
Egegik,2004,1290144,2.394231268536917,1.41,-1.29e-7,0.8178026925369173
Egegik,2005,1621734,1.3386354437833976,1.41,-1.29e-7,-0.28056824221660226
Egegik,2006,1465158,0.8917157037633312,1.41,-1.29e-7,-0.7072896782366687
Egegik,2007,1432500,1.5034845111842612,1.41,-1.29e-7,-0.09130798881573865
Egegik,2008,1259568,1.1124707723107905,1.41,-1.29e-7,-0.46001349968920935
Egegik,2009,1146276,1.369295374249837,1.41,-1.29e-7,-0.18857422975016291
Egegik,2010,927054,2.3694277381697333,1.41,-1.29e-7,0.8398377721697334
Egegik,2011,961200,2.276392851030886,1.41,-1.29e-7,0.7423980510308863
Egegik,2012,1233900,2.0486464802558793,1.41,-1.29e-7,0.47947338025587927
Egegik,2013,1113630,1.6875573397985977,1.41,-1.29e-7,0.13389906979859778
Egegik,2014,1382466,1.4371666402842853,1.41,-1.29e-7,-0.1511714737157146
Egegik,2015,2160792,2.466980892394619,1.41,-1.29e-7,0.7782387243946192
Egegik,2016,1837260,NA,1.41,-1.29e-7,NA
Egegik,2017,2600982,NA,1.41,-1.29e-7,NA
Egegik,2018,1608354,NA,1.41,-1.29e-7,NA
Egegik,2019,2340210,NA,1.41,-1.29e-7,NA
Egegik,2020,2389728,NA,1.41,-1.29e-7,NA
Egegik,2021,1832196,NA,1.41,-1.29e-7,NA
Egegik,2022,1786152,NA,1.41,-1.29e-7,NA
Egegik,2023,1562700,NA,1.41,-1.29e-7,NA
Igushik,1955,NA,NA,1.46,1.72e-6,NA
Igushik,1956,NA,NA,1.46,1.72e-6,NA
Igushik,1957,NA,NA,1.46,1.72e-6,NA
Igushik,1958,NA,NA,1.46,1.72e-6,NA
Igushik,1959,NA,NA,1.46,1.72e-6,NA
Igushik,1960,NA,NA,1.46,1.72e-6,NA
Igushik,1961,NA,NA,1.46,1.72e-6,NA
Igushik,1962,NA,NA,1.46,1.72e-6,NA
Igushik,1963,92184,1.3848536001800753,1.46,1.72e-6,0.08341008018007545
Igushik,1964,128532,1.5121113392344612,1.46,1.72e-6,0.2731863792344613
Igushik,1965,180840,1.5005561606252023,1.46,1.72e-6,0.3516009606252022
Igushik,1966,206360,0.3777984008725587,1.46,1.72e-6,-0.7272623991274412
Igushik,1967,281772,-0.8068433841835327,1.46,1.72e-6,-1.7821955441835327
Igushik,1968,194508,-0.20205525139293976,1.46,1.72e-6,-1.3275014913929397
Igushik,1969,512328,-0.07203105720357562,1.46,1.72e-6,-0.6508268972035756
Igushik,1970,370920,-0.25498723992970124,1.46,1.72e-6,-1.0770048399297012
Igushik,1971,210960,0.20676091357251647,1.46,1.72e-6,-0.8903878864274836
Igushik,1972,60018,1.3523060536893938,1.46,1.72e-6,-0.004462986310606043
Igushik,1973,59508,2.0275709061654195,1.46,1.72e-6,0.6699246661654195
Igushik,1974,358752,1.2618783492754841,1.46,1.72e-6,0.41893178927548425
Igushik,1975,241086,2.456107471224378,1.46,1.72e-6,1.4107753912243781
Igushik,1976,186120,1.9849190635251777,1.46,1.72e-6,0.8450454635251776
Igushik,1977,95970,2.1579033695268137,1.46,1.72e-6,0.8629717695268138
Igushik,1978,536154,0.04756948138663702,1.46,1.72e-6,-0.49024563861336296
Igushik,1979,859560,0.042050663493347795,1.46,1.72e-6,0.0604938634933479
Igushik,1980,1987530,-1.4992667948597937,1.46,1.72e-6,0.45928480514020653
Igushik,1981,591144,0.3497281444642053,1.46,1.72e-6,-0.0935041755357946
Igushik,1982,423768,-0.20099156592667716,1.46,1.72e-6,-0.932110605926677
Igushik,1983,180438,0.7735873094366588,1.46,1.72e-6,-0.37605933056334107
Igushik,1984,184872,1.0398286428562473,1.46,1.72e-6,-0.10219151714375263
Igushik,1985,212454,1.6791372319972946,1.46,1.72e-6,0.5845581119972947
Igushik,1986,307728,1.7095181266859685,1.46,1.72e-6,0.7788102866859685
Igushik,1987,169236,0.9679359856124516,1.46,1.72e-6,-0.20097809438754832
Igushik,1988,170454,1.2829906383197425,1.46,1.72e-6,0.11617151831974248
Igushik,1989,461610,0.7647846427725346,1.46,1.72e-6,0.09875384277253463
Igushik,1990,365802,1.212268668003951,1.46,1.72e-6,0.381448108003951
Igushik,1991,756126,0.2633556635164586,1.46,1.72e-6,0.10389238351645863
Igushik,1992,304920,-0.7815459550885245,1.46,1.72e-6,-1.7170835550885246
Igushik,1993,405564,-0.12425861983371575,1.46,1.72e-6,-0.8866885398337158
Igushik,1994,445920,0.3920286535708308,1.46,1.72e-6,-0.3009889464291691
Igushik,1995,473382,0.99334937479989,1.46,1.72e-6,0.34756641479989014
Igushik,1996,400746,0.7938701046781891,1.46,1.72e-6,0.023153224678189144
Igushik,1997,127704,-0.2511170082441931,1.46,1.72e-6,-1.491466128244193
Igushik,1998,215904,0.9099608144433192,1.46,1.72e-6,-0.1786843055566808
Igushik,1999,445536,-0.20628243936588853,1.46,1.72e-6,-0.8999605193658885
Igushik,2000,413316,0.6192980177458046,1.46,1.72e-6,-0.12979846225419533
Igushik,2001,409596,0.17944518464609985,1.46,1.72e-6,-0.5760496953539002
Igushik,2002,123156,1.3915199905591034,1.46,1.72e-6,0.14334831055910335
Igushik,2003,194088,2.3756877670759673,1.46,1.72e-6,1.2495191270759674
Igushik,2004,109650,2.8177353394989235,1.46,1.72e-6,1.5463333394989236
Igushik,2005,365712,1.4632315652886532,1.46,1.72e-6,0.6322562052886532
Igushik,2006,305268,1.1918177528294218,1.46,1.72e-6,0.2568787128294219
Igushik,2007,415452,0.38242001328112446,1.46,1.72e-6,-0.3630025467188755
Igushik,2008,1054704,-0.4629656650427553,1.46,1.72e-6,-0.10887478504275533
Igushik,2009,514188,0.6055196037314307,1.46,1.72e-6,0.029922963731430663
Igushik,2010,518040,1.1968653516588117,1.46,1.72e-6,0.6278941516588118
Igushik,2011,421380,1.5498901483918297,1.46,1.72e-6,0.8146637483918298
Igushik,2012,193326,1.2666146149774888,1.46,1.72e-6,0.13913533497748887
Igushik,2013,387036,1.6877222376508445,1.46,1.72e-6,0.8934241576508446
Igushik,2014,340590,1.696148150150816,1.46,1.72e-6,0.821962950150816
Igushik,2015,651172,0.38183695529570294,1.46,1.72e-6,0.04185279529570296
Igushik,2016,469230,NA,1.46,1.72e-6,NA
Igushik,2017,578700,NA,1.46,1.72e-6,NA
Igushik,2018,770772,NA,1.46,1.72e-6,NA
Igushik,2019,256074,NA,1.46,1.72e-6,NA
Igushik,2020,323814,NA,1.46,1.72e-6,NA
Igushik,2021,878952,NA,1.46,1.72e-6,NA
Igushik,2022,378768,NA,1.46,1.72e-6,NA
Igushik,2023,542496,NA,1.46,1.72e-6,NA
Kvichak,1955,NA,NA,0.89,3.91e-8,NA
Kvichak,1956,NA,NA,0.89,3.91e-8,NA
Kvichak,1957,NA,NA,0.89,3.91e-8,NA
Kvichak,1958,NA,NA,0.89,3.91e-8,NA
Kvichak,1959,NA,NA,0.89,3.91e-8,NA
Kvichak,1960,NA,NA,0.89,3.91e-8,NA
Kvichak,1961,NA,NA,0.89,3.91e-8,NA
Kvichak,1962,NA,NA,0.89,3.91e-8,NA
Kvichak,1963,338760,1.4104827570942537,0.89,3.91e-8,0.5337282730942537
Kvichak,1964,957120,1.795374001868327,0.89,3.91e-8,0.9427973938683271
Kvichak,1965,24325926,0.6331930114148103,0.89,3.91e-8,0.6943367180148103
Kvichak,1966,3755185,0.5520529917913827,0.89,3.91e-8,-0.19111927470861734
Kvichak,1967,3216208,-0.5893181030324256,0.89,3.91e-8,-1.3535643702324256
Kvichak,1968,2557440,-1.3926267934837055,0.89,3.91e-8,-2.1826308894837054
Kvichak,1969,8394204,-0.42031891581688896,0.89,3.91e-8,-0.9821055394168889
Kvichak,1970,13935306,0.0975931438755162,0.89,3.91e-8,-0.2475363915244838
Kvichak,1971,2387392,-0.15907442513344,0.89,3.91e-8,-0.95572739793344
Kvichak,1972,1009962,1.168333337733698,0.89,3.91e-8,0.31782285193369797
Kvichak,1973,226554,2.274701501222219,0.89,3.91e-8,1.3935597626222191
Kvichak,1974,4433844,1.7605030131105308,0.89,3.91e-8,1.0438663135105308
Kvichak,1975,13140450,1.0470179784865037,0.89,3.91e-8,0.6708095734865037
Kvichak,1976,1965282,1.6961323456640987,0.89,3.91e-8,0.8829748718640986
Kvichak,1977,1341144,0.8344870560797132,0.89,3.91e-8,-0.003074213520286806
Kvichak,1978,4149288,0.19748621867094276,0.89,3.91e-8,-0.5302766205290572
Kvichak,1979,11218434,1.344798566589342,0.89,3.91e-8,0.893439335989342
Kvichak,1980,22505268,-0.580265899324601,0.89,3.91e-8,-0.5903099205246011
Kvichak,1981,1754358,0.15514572973555726,0.89,3.91e-8,-0.6662588724644427
Kvichak,1982,1134840,0.28511823891248483,0.89,3.91e-8,-0.5605095170875152
Kvichak,1983,3569982,1.3503275136275559,0.89,3.91e-8,0.5999138098275558
Kvichak,1984,10490670,0.7974168987915212,0.89,3.91e-8,0.3176020957915212
Kvichak,1985,7211046,0.9320972489107151,0.89,3.91e-8,0.324049147510715
Kvichak,1986,1179322,1.2495680052496732,0.89,3.91e-8,0.4056794954496732
Kvichak,1987,6065880,0.6524660657791136,0.89,3.91e-8,-3.5802622088643155e-4
Kvichak,1988,4065216,0.8173575510440103,0.89,3.91e-8,0.08630749664401027
Kvichak,1989,8317500,1.092519530811371,0.89,3.91e-8,0.5277337808113711
Kvichak,1990,6970020,1.327900897339749,0.89,3.91e-8,0.710428679339749
Kvichak,1991,4222788,0.09362588088074603,0.89,3.91e-8,-0.6312631083192539
Kvichak,1992,4725864,-0.9241203088150252,0.89,3.91e-8,-1.6293390264150251
Kvichak,1993,4025166,-0.251383076217737,0.89,3.91e-8,-0.983999085617737
Kvichak,1994,8355936,-0.13468004897134175,0.89,3.91e-8,-0.6979629513713418
Kvichak,1995,10038720,0.05786834743856574,0.89,3.91e-8,-0.4396177005614343
Kvichak,1996,1450578,0.4436714414270566,0.89,3.91e-8,-0.3896109587729434
Kvichak,1997,1503732,-0.6109940028133016,0.89,3.91e-8,-1.4421980816133018
Kvichak,1998,2296074,-0.6044637207200589,0.89,3.91e-8,-1.4046872273200588
Kvichak,1999,6196914,0.17456435306885715,0.89,3.91e-8,-0.4731363095311429
Kvichak,2000,1827780,0.8465600692350191,0.89,3.91e-8,0.02802626723501911
Kvichak,2001,1095348,1.3953536660648267,0.89,3.91e-8,0.5481817728648267
Kvichak,2002,703884,1.7073000888703953,0.89,3.91e-8,0.8448219532703953
Kvichak,2003,1686804,1.0799060092097845,0.89,3.91e-8,0.2558600456097845
Kvichak,2004,5500134,0.6857916332781693,0.89,3.91e-8,0.010846872678169195
Kvichak,2005,2320332,1.418263827898004,0.89,3.91e-8,0.618988809098004
Kvichak,2006,3068226,0.9975031814813545,0.89,3.91e-8,0.2274708180813545
Kvichak,2007,2810208,1.516139910842655,0.89,3.91e-8,0.736019043642655
Kvichak,2008,2757912,0.8694686466051398,0.89,3.91e-8,0.08730300580513972
Kvichak,2009,2266140,1.7387839397919886,0.89,3.91e-8,0.9373900137919886
Kvichak,2010,4207410,1.8126670896595163,0.89,3.91e-8,1.0871768206595163
Kvichak,2011,2264352,1.2783348313723972,0.89,3.91e-8,0.47687099457239723
Kvichak,2012,4164444,1.0415964388849206,0.89,3.91e-8,0.31442619928492055
Kvichak,2013,2088576,1.1493207142974762,0.89,3.91e-8,0.34098403589747617
Kvichak,2014,4458540,0.40146719271062836,0.89,3.91e-8,-0.3142038932893716
Kvichak,2015,7348572,0.5844470856593792,0.89,3.91e-8,-0.01822374914062086
Kvichak,2016,4462728,NA,0.89,3.91e-8,NA
Kvichak,2017,3163404,NA,0.89,3.91e-8,NA
Kvichak,2018,4398708,NA,0.89,3.91e-8,NA
Kvichak,2019,2371242,NA,0.89,3.91e-8,NA
Kvichak,2020,4030968,NA,0.89,3.91e-8,NA
Kvichak,2021,4703520,NA,0.89,3.91e-8,NA
Kvichak,2022,4224882,NA,0.89,3.91e-8,NA
Kvichak,2023,3751686,NA,0.89,3.91e-8,NA
Nushagak,1955,NA,NA,1.52,6.81e-7,NA
Nushagak,1956,NA,NA,1.52,6.81e-7,NA
Nushagak,1957,NA,NA,1.52,6.81e-7,NA
Nushagak,1958,NA,NA,1.52,6.81e-7,NA
Nushagak,1959,NA,NA,1.52,6.81e-7,NA
Nushagak,1960,NA,NA,1.52,6.81e-7,NA
Nushagak,1961,NA,NA,1.52,6.81e-7,NA
Nushagak,1962,NA,NA,1.52,6.81e-7,NA
Nushagak,1963,234820.8018,-0.08892641207849211,1.52,6.81e-7,-1.449013446052692
Nushagak,1964,134852.6266,-0.36790865095988995,1.52,6.81e-7,-1.7960740122452898
Nushagak,1965,255793.5021,1.1146076033881773,1.52,6.81e-7,-0.23119702168172274
Nushagak,1966,233577.6147,1.0998001023673751,1.52,6.81e-7,-0.26113354202192496
Nushagak,1967,74002.81765,1.1209925851672493,1.52,6.81e-7,-0.3486114960131006
Nushagak,1968,142360.4153,0.8828012632026259,1.52,6.81e-7,-0.5402512939780741
Nushagak,1969,95805.0467,1.6395972690121807,1.52,6.81e-7,0.18484050581488076
Nushagak,1970,452891.7581,0.7808021494032721,1.52,6.81e-7,-0.4307785633306279
Nushagak,1971,312699.1781,1.1734525067951607,1.52,6.81e-7,-0.13359935291873937
Nushagak,1972,39850.56376,3.360622523667691,1.52,6.81e-7,1.867760757588251
Nushagak,1973,210600.7728,1.8800115894015552,1.52,6.81e-7,0.5034307156783553
Nushagak,1974,204190.1742,0.630607974369117,1.52,6.81e-7,-0.750338517000683
Nushagak,1975,832092.6013,1.9747621592414555,1.52,6.81e-7,1.0214172207267556
Nushagak,1976,520302.5868,2.12396277891288,1.52,6.81e-7,0.95828884052368
Nushagak,1977,611588.3606,1.6660612039701428,1.52,6.81e-7,0.5625528775387427
Nushagak,1978,734040.0845,0.7237649503757136,1.52,6.81e-7,-0.2963537520797864
Nushagak,1979,551271.6622,1.208631366829755,1.52,6.81e-7,0.06404736878795503
Nushagak,1980,3669136.414,-1.1091164033864644,1.52,6.81e-7,-0.1304345054524645
Nushagak,1981,1118872.875,0.5691356569163211,1.52,6.81e-7,-0.1889119152086789
Nushagak,1982,664579.7666,0.697642889623976,1.52,6.81e-7,-0.369778289321424
Nushagak,1983,446845.0461,1.2429837496419054,1.52,6.81e-7,0.02728522603600525
Nushagak,1984,655739.2017,0.1491951875710763,1.52,6.81e-7,-0.9242464160712237
Nushagak,1985,551319.2218,0.9438914488311552,1.52,6.81e-7,-0.20066016112304474
Nushagak,1986,1095241.259,0.6474200277133136,1.52,6.81e-7,-0.12672067490768635
Nushagak,1987,429181.6128,1.490596603587565,1.52,6.81e-7,0.2628692819043652
Nushagak,1988,534459.8784,1.5654657328649835,1.52,6.81e-7,0.4094329100553835
Nushagak,1989,567863.3443,0.9014334928449952,1.52,6.81e-7,-0.23185156968670495
Nushagak,1990,752513.138,0.45765731434644186,1.52,6.81e-7,-0.5498812386755582
Nushagak,1991,544748.2476,1.0072015412155289,1.52,6.81e-7,-0.14182490216887111
Nushagak,1992,768816.1441,0.45564887617187333,1.52,6.81e-7,-0.5407873296960266
Nushagak,1993,790926.9579,0.3061986381138321,1.52,6.81e-7,-0.6751801035562679
Nushagak,1994,563334.117,-0.27963265903838397,1.52,6.81e-7,-1.416002125361384
Nushagak,1995,311136.3458,1.3485756752140328,1.52,6.81e-7,0.04045952670383279
Nushagak,1996,557057.3491,1.4333184085320767,1.52,6.81e-7,0.2926744632691767
Nushagak,1997,412591.0367,0.277047203951864,1.52,6.81e-7,-0.9619783000554359
Nushagak,1998,507532.2674,1.6585860242619928,1.52,6.81e-7,0.48421549836139266
Nushagak,1999,344972.2727,1.6260359269460045,1.52,6.81e-7,0.34096204465470437
Nushagak,2000,446286.4967,2.1776340298964025,1.52,6.81e-7,0.9615551341491027
Nushagak,2001,897112.175,1.087968905423709,1.52,6.81e-7,0.17890229659870893
Nushagak,2002,349155.3099,1.7861605592219862,1.52,6.81e-7,0.5039353252638863
Nushagak,2003,642092.8998,1.2301872180205649,1.52,6.81e-7,0.14745248278436485
Nushagak,2004,543872.2652,1.2167258331304678,1.52,6.81e-7,0.0671028457316678
Nushagak,2005,1106703,0.248032330463763,1.52,6.81e-7,-0.5183029265362371
Nushagak,2006,548410,0.8139004066099479,1.52,6.81e-7,-0.3326323833900521
Nushagak,2007,518041,0.5657346001221879,1.52,6.81e-7,-0.6014794788778122
Nushagak,2008,492546,1.4828345777906644,1.52,6.81e-7,0.2982584037906644
Nushagak,2009,484149,0.9762561399132016,1.52,6.81e-7,-0.21403839108679834
Nushagak,2010,468696,1.654930801385234,1.52,6.81e-7,0.45411277738523403
Nushagak,2011,428191,1.7356312886865641,1.52,6.81e-7,0.5072293596865642
Nushagak,2012,432438,2.470362493182994,1.52,6.81e-7,1.2448527711829942
Nushagak,2013,894148,2.5959770867052563,1.52,6.81e-7,1.6848918747052561
Nushagak,2014,618477,2.0654937910648465,1.52,6.81e-7,0.9666766280648464
Nushagak,2015,796684,1.1313032573589372,1.52,6.81e-7,0.15384506135893727
Nushagak,2016,680512,NA,1.52,6.81e-7,NA
Nushagak,2017,2852308,NA,1.52,6.81e-7,NA
Nushagak,2018,1247460,NA,1.52,6.81e-7,NA
Nushagak,2019,709431,NA,1.52,6.81e-7,NA
Nushagak,2020,1228059,NA,1.52,6.81e-7,NA
Nushagak,2021,4697299,NA,1.52,6.81e-7,NA
Nushagak,2022,3455272,NA,1.52,6.81e-7,NA
Nushagak,2023,1772676,NA,1.52,6.81e-7,NA
Naknek,1955,NA,NA,1.51,2.95e-7,NA
Naknek,1956,NA,NA,1.51,2.95e-7,NA
Naknek,1957,NA,NA,1.51,2.95e-7,NA
Naknek,1958,NA,NA,1.51,2.95e-7,NA
Naknek,1959,NA,NA,1.51,2.95e-7,NA
Naknek,1960,NA,NA,1.51,2.95e-7,NA
Naknek,1961,NA,NA,1.51,2.95e-7,NA
Naknek,1962,NA,NA,1.51,2.95e-7,NA
Naknek,1963,905358,0.6340662585358025,1.51,2.95e-7,-0.6088531314641975
Naknek,1964,1349604,0.4992851753663562,1.51,2.95e-7,-0.6125816446336437
Naknek,1965,717798,1.307924524648576,1.51,2.95e-7,0.00967493464857605
Naknek,1966,1016445,1.4201110520622169,1.51,2.95e-7,0.20996232706221685
Naknek,1967,755640,0.7198431592916322,1.51,2.95e-7,-0.5672430407083678
