System,River,ReturnYear,Total_Returns,AgeClass_0.1,AgeClass_0.2,AgeClass_0.3,AgeClass_0.4,AgeClass_0.5,AgeClass_1.1,AgeClass_1.2,AgeClass_1.3,AgeClass_1.4,AgeClass_1.5,AgeClass_2.1,AgeClass_2.2,AgeClass_2.3,AgeClass_2.4,AgeClass_3.1,AgeClass_3.2,AgeClass_3.3,AgeClass_3.4
Bristol Bay,Alagnak,1985,843580.1088,0,0,3.99E-09,0,0,9.26E-08,174414.6562,368591.127,14173.23019,0,4.34E-07,269864.3136,1.07E-06,16536.78176,0,6.02E-09,3.99E-09,0
Bristol Bay,Alagnak,1986,1020938.708,0,0,6006.848242,0,0,6508.426705,3.30E-08,1008291.548,2.02E-08,0,0,1.60E-08,5.43E-08,131.8850177,0,5.32E-09,0,0
Bristol Bay,Alagnak,1987,780737.3191,1.97E-08,560.9568253,12695.2073,3.97E-09,0,4.22E-08,3.11E-08,767481.155,9.26E-09,0,0,2.30E-08,1.14E-07,5.29E-09,0,6.76E-09,0,0
Bristol Bay,Alagnak,1988,851134.5985,0,5.82E-09,6532.226676,4.61E-09,0,6814.911564,403722.288,434065.1723,4.61E-09,0,1.18E-07,8.15E-08,2.43E-08,4.61E-09,0,5.82E-09,5.79E-09,0
Bristol Bay,Alagnak,1989,1379369.767,0,1.01E-08,39050.59914,1631.854436,0,1.97E-07,86570.42681,1250869.725,9.79E-09,9.17E-09,2.90E-08,4.31E-08,1247.161118,2.20E-08,2.32E-08,7.61E-09,7.58E-09,0
Bristol Bay,Alagnak,1990,1591425.186,0,2.55E-08,4.05E-08,0,0,1.33E-08,9.33E-08,792074.1818,25116.47654,0,3.99E-08,1.13E-08,772146.2427,7.82E-09,0,3.11E-08,2088.285455,0
Bristol Bay,Alagnak,1991,1684654.871,0,1.45E-08,2.25E-08,2446.310504,0,0,2.70E-08,954824.0797,1.65E-08,0,3.49E-08,1.35E-07,720017.3639,4441.248429,0,8.30E-09,2925.868057,0
Bristol Bay,Alagnak,1992,1461638.586,0,7.13E-09,7.09E-09,4.70E-09,0,0,9.51E-09,394531.9947,1.72E-07,0,9.67E-09,1.19E-08,1066241.369,1.18E-08,0,4.75E-09,865.2218988,0
Bristol Bay,Alagnak,1993,2451734.915,0,0,5.34E-09,0,0,100366.2567,712704.8419,638576.4148,1.07E-08,0,7.72E-08,615410.9378,374484.4063,2.41E-08,0,1392.630624,8799.426544,0
Bristol Bay,Alagnak,1994,2062023.399,0,8.67E-09,3138.081058,1365.064269,0,23838.29849,3.47E-08,1322636.532,19833.51353,0,5.06E-08,691211.9099,1.37E-08,1.65E-08,0,9.54E-08,8.24E-09,0
Bristol Bay,Alagnak,1995,2198777.941,0,6.90E-09,6.74E-09,240.7624705,0,0,1012274.363,1174114.761,12148.05425,0,3.29E-07,1.76E-07,4.49E-06,6.59E-09,0,1.72E-08,2.02E-08,0
Bristol Bay,Alagnak,1996,2383541.735,0,0,35663.28234,3.27E-09,0,3.01E-08,3.11E-08,2341905.265,4214.611001,0,1.17E-08,8.18E-09,1.47E-08,1758.577045,0,1.47E-08,6.54E-09,0
Bristol Bay,Alagnak,1997,814336.1979,0,0.000896386,10456.94931,824.6365408,0,593413.3826,1463.539014,150356.3157,0.003800496,0,0,0.002857406,53630.10723,0.001731756,0,2601.051263,1590.206915,0
Bristol Bay,Alagnak,1998,1185591.303,0,0,1616.278774,0,0,0,9.60E-08,957262.2413,8.58E-09,0,4.47E-08,226712.7831,1.17E-08,5.46E-09,0,1.57E-08,4.69E-09,0
Bristol Bay,Alagnak,1999,3028936.65,0,0,0,0,0,0,2028132.493,688616.3289,38.87584698,0,3.53E-09,1106.665777,311042.2866,3.53E-09,0,3.53E-09,3.53E-09,0
Bristol Bay,Alagnak,2000,2189169.954,0,0,0,11.84545132,0,5994.053232,40387.31041,1861831.561,11052.97876,0,0,1922.911696,259857.1408,0,0,8112.152511,5.37E-09,0
Bristol Bay,Alagnak,2001,1186912.555,0,0,55.36648023,0,0,11639.27761,1871.387032,1167710.216,974.4500521,3.11E-09,11.07329613,1162.696085,3421.648479,66.4397763,0,5.62E-09,6.25E-09,0
Bristol Bay,Alagnak,2002,941300.5328,0,10.80525304,0,0,0,7.46E-08,9903.014409,625825.2959,204767.5643,0,8095.762882,85372.12845,7234.116909,43.22101218,8.90E-08,37.8183862,10.80525305,0
Bristol Bay,Alagnak,2003,4157797.345,0,0,0,0,0,2051.167747,802308.7968,2422101.567,41421.52384,1.57E-09,47.01238786,269435.0936,620197.1218,47.01238787,0,188.0495514,2.36E-09,0
Bristol Bay,Alagnak,2004,7525949.136,0,0,13.25851383,0,0,39954.21287,5559714.574,1213013.134,84.94987603,0,3.86E-09,646231.0105,56520.48435,10148.83633,0,3.84E-09,3.84E-09,268.6760069
Bristol Bay,Alagnak,2005,5224715.579,0,0,306.9562649,287.7517004,0,14.67583275,127914.7465,4007257.57,277.2843522,0,17.89637234,34671.47396,1053967.224,2.72E-09,0,2.72E-09,2.72E-09,0
Bristol Bay,Alagnak,2006,3342878.917,0,0,6015.001694,4.03E-09,0,2.69E-09,1774631.842,1366722.794,31485.86589,0,2.69E-09,37516.64965,115780.4856,10608.00721,0,72.45188977,45.81936588,0
Bristol Bay,Alagnak,2007,4771232.682,0,0,0,0,0,1822.475449,2760468.649,1836230.75,12340.66816,0,3.28E-09,67960.43965,92409.7002,3.28E-09,0,3.28E-09,3.28E-09,0
Bristol Bay,Alagnak,2008,4706011.455,0,0,3.31E-09,3.31E-09,0,3.31E-09,860687.9083,3797307.264,4217.832126,3.31E-09,3.31E-09,5381.481489,38416.96934,3.31E-09,0,3.31E-09,3.31E-09,0
Bristol Bay,Alagnak,2009,2369159.928,0,0,0,0,0,1340.206556,741790.3126,1378015.368,116853.8051,0,3.29E-09,109723.9876,21436.24851,3.29E-09,0,3.29E-09,0,0
Bristol Bay,Alagnak,2010,2815554.256,0,0,3.13E-09,3.13E-09,0,1625.25589,666876.1427,1855297.39,15868.20693,0,3.13E-09,127545.8105,148341.4502,3.13E-09,0,3.13E-09,0,0
Bristol Bay,Alagnak,2011,2249301.671,0,0,2.57E-09,2.57E-09,0,827.0698279,500487.0254,1577882.43,7216.026903,0,2.57E-09,54790.96021,108098.1586,2.57E-09,0,2.57E-09,2.57E-09,0
Bristol Bay,Alagnak,2012,2227427.4,0,0,96.16823079,2.86E-09,0,0,507010.2399,1099434.143,623.6313307,0,2.86E-09,481557.6372,138224.7391,384.6725895,0,96.16823079,2.86E-09,0
Bristol Bay,Alagnak,2013,1930231.208,0,0,0,4.15E-09,0,1.77E-08,461079.569,1252746.001,258.7806435,1.14E-08,172.5204017,89671.57444,126216.5021,4.15E-09,0,4.16E-09,86.26024183,0
Bristol Bay,Alagnak,2014,1621056.35,0,0,100.5674702,0,0,119.8535513,735455.2432,693019.5954,3907.467304,0,239.707314,117646.4636,70466.8842,100.5674702,0,3.30E-09,3.30E-09,0
Bristol Bay,Alagnak,2015,8244122.353,0,0,0.467748513,0,0,39747.72016,3087316.408,3182986.39,848.311779,0,0.07095411,1800823.196,132394.0592,0,0,5.729088189,0,0
Bristol Bay,Alagnak,2016,4938142.336,0,0,0,0,0,2701.893556,1123765.344,2498861.497,12833.27778,0,4.46E-09,533352.511,766627.8123,4.46E-09,0,4.46E-09,4.46E-09,0
Bristol Bay,Alagnak,2017,4430315.245,0,0,0,0,0,68087.60633,2677120.72,1614660.843,2.750691237,0,0,22310.66468,48130.98577,0,0,1.420137039,0.254286212,0
Bristol Bay,Alagnak,2018,2873549.53,0,0,0,0,0,2697.793179,1604307.418,1235289.754,10639.65192,41.16637938,34.98382736,3197.529829,17181.10598,111.501954,0,0,48.62513454,0
Bristol Bay,Alagnak,2019,1855135.622,0,0,0,0,0,4174.728164,1230186.21,586590.7187,457.5836069,0,0.284602196,24204.11063,9521.967042,0,0,0,0.019519612,0
Bristol Bay,Alagnak,2020,4561207.964,0,0,0,0,0,6736.57857,1839803.776,2693830.104,4.73E-09,0,4.73E-09,19769.61903,1067.88622,0,0,4.73E-09,0,0
Bristol Bay,Alagnak,2021,6124320.604,1.05E-06,1.05E-06,1.05E-06,1.05E-06,1.05E-06,0.000201169,2324175.581,2700670.955,22635.24793,1.05E-06,1400.861793,359397.0158,716039.9035,1.0387568,1.05E-06,1.05E-06,1.05E-06,1.05E-06
Bristol Bay,Alagnak,2022,4645074.161,1.04E-06,1.04E-06,1.04E-06,1.04E-06,1.04E-06,8045.043921,1106969.185,2929533.349,8130.432049,1.04E-06,1.04E-06,420868.0033,165740.1391,1.04E-06,1.04E-06,215.1503444,5572.857987,1.04E-06
Bristol Bay,Alagnak,2023,2539456.198,1.02E-06,1.02E-06,1.02E-06,1.02E-06,1.02E-06,1427.333217,474456.8449,1167190.077,6488.244528,1.02E-06,9.29E-05,46741.77899,843127.3157,0.000158056,1.02E-06,24.60324427,1.02E-06,1.02E-06
Bristol Bay,Egegik,1963,1991859.774,0,0,0,0,0,0,50461.37576,62982.41749,0,0,2486.666955,1064195.567,706515.7826,0,0,89605.86566,15612.09807,0
Bristol Bay,Egegik,1964,2012601.398,0,2.77E-05,0,0,0,0,213842.1559,155084.8441,88.30467128,0,397.2592124,1246563.364,290239.2841,0,0,28636.93209,77749.25351,0
Bristol Bay,Egegik,1965,5170949.67,0,0,6.46E-09,0,0,6.38E-09,47269.2128,340500.3087,782.4082927,0,6.38E-09,4134127.533,635809.1877,0,0,10515.02493,1945.994688,0
Bristol Bay,Egegik,1966,2903851.051,0,0,1.82E-09,0,0,0,3547.200849,104163.8893,1.82E-09,0,404.8203979,383656.3489,2347788.888,129.5297105,0,43856.62903,20303.7445,0
Bristol Bay,Egegik,1967,1725062.795,0,0,1024.70891,0,0,228.7945009,2667.336658,19755.11178,1.60E-09,0,2263.724822,716891.1894,916276.1459,0,0,27631.8326,38323.95037,0
Bristol Bay,Egegik,1968,1011976.914,0,0,1.62E-09,0,0,8.04E-10,61057.66852,85596.9672,1.21E-09,0,5946.090941,513647.2007,309636.987,8.07E-10,0,27596.21431,8495.785329,0
Bristol Bay,Egegik,1969,2016715.5,0,2.06E-09,0,0,0,0,24283.86928,36450.12691,2.01E-09,0,24472.04565,1534886.793,298366.8522,0,0,82830.89669,15424.9167,0
Bristol Bay,Egegik,1970,1945368.913,0,0,177.3895537,0,0,0,145853.7673,10867.35185,0,0,105.2964674,1485853.916,222304.1895,0,0,72732.35478,7474.647841,0
Bristol Bay,Egegik,1971,1996100.301,0,1.65E-09,1900.881108,1.66E-09,0,0,56673.27338,550527.8378,1593.69179,0,469.5846622,563055.1246,811265.61,0,0,6338.108354,4276.189397,0
Bristol Bay,Egegik,1972,1774534.947,0,0,1006.271189,1.94E-09,0,2.18E-07,20399.37071,188696.4319,1040.358727,0,0,748745.1381,781194.3307,1013.294351,0,9642.391636,22797.36015,0
Bristol Bay,Egegik,1973,787541.5745,0,0,3.23E-09,0,0,3.44E-09,8738.090202,46666.22576,3.44E-09,0,3357.566207,90534.22346,630902.2433,0,0,668.7252773,6674.50026,0
Bristol Bay,Egegik,1974,1504237.231,0,0,0,0,0,1.39E-09,106126.7894,103338.3213,1.39E-09,0,1.39E-09,1090569.105,200828.1812,1832.661163,0,9.25E-10,1542.172819,0
Bristol Bay,Egegik,1975,2238670.984,0,0,0,0,0,2.40E-09,21238.08117,81044.95037,0,0,3281.678848,565759.8423,1178714.939,8546.222813,0,371009.6856,9075.583569,0
Bristol Bay,Egegik,1976,1704895.448,0,6.25E-08,4.25E-08,0,0,0,8.60E-08,1.67E-07,0,0,4.00E-08,1289361.414,1.12E-06,3.69E-08,0,415534.0341,1.29E-06,0
Bristol Bay,Egegik,1977,2998167.01,0,1443.113839,2.28E-09,0,0,0,35038.0515,72017.78253,0,0,438.2874458,1532499.678,1266964.978,0,0,55646.37666,34118.74165,0
Bristol Bay,Egegik,1978,2078292.474,0,0,1.45E-09,1.48E-09,0,0,49637.88617,75610.9236,186.4004442,0,12430.26778,585164.9457,1234294.452,8.16E-09,0,56930.39955,64037.19912,0
Bristol Bay,Egegik,1979,2579853.17,0,147.6728901,0,0,0,3.68E-09,55085.40649,88787.36287,3.70E-09,0,7278.987941,1666318.813,724245.7001,0,0,23869.19864,13973.32821,146.6998916
Bristol Bay,Egegik,1980,3449719.407,0,2.88E-08,3.01E-06,0,0,2322.479472,381107.074,151116.0071,2.59E-05,0,53443.00145,2234183.058,561289.6956,0,5.77E-09,58938.98633,7319.104694,0
Bristol Bay,Egegik,1981,4641785.163,0,0,2.78E-09,0,0,0,823006.34,452344.4301,0,0,1845.622013,2772401.054,580804.4166,0,0,8920.976104,2462.324146,0
Bristol Bay,Egegik,1982,3785029.677,0,0,1.02E-08,0,0,2849.181783,387998.1237,1935491.15,586.068051,0,6740.847413,628139.0008,820445.3895,1089.655992,0,0,1690.259376,0
Bristol Bay,Egegik,1983,8446307.461,0,0,4.45E-09,0,0,4869.711216,657109.9661,422634.678,11696.34131,0,2251.365806,6590350.232,698974.7839,4.45E-09,0,58420.38282,4.45E-09,0
Bristol Bay,Egegik,1984,5458425.159,0,0,23353.27192,6464.600604,0,0,706929.1945,219730.8356,859.6134937,0,22071.55743,1973576.034,2484584.888,0,0,13141.22405,7713.939666,0
Bristol Bay,Egegik,1985,8331666.155,0,0,3.92E-09,0,0,1756.189742,593439.3367,2450118.347,3.92E-09,0,45078.01509,4056129.292,1176188.836,3.92E-09,363.34752,3.92E-09,8592.791197,0
Bristol Bay,Egegik,1986,5506500.132,0,0,896.9336361,0,0,2413.376428,1215619.209,432085.8263,4963.21046,0,11565.1957,2883765.692,948854.1623,1570.460021,0,4766.065663,0,0
Bristol Bay,Egegik,1987,6385229.443,2.47E-09,2.48E-09,2.49E-09,2.49E-09,0,484.083257,1279753.334,1929108.557,3247.125033,0,7273.0087,1689006.953,1470066.355,2.49E-09,0,6290.027372,0,0
Bristol Bay,Egegik,1988,8117564.378,0,437.4094417,1314.372976,2.551615698,0,434.7770049,398395.6985,2553114.462,6501.059543,0,85549.46402,3484607.883,1557303.242,3.28E-09,0,22289.96083,7613.497426,0
Bristol Bay,Egegik,1989,9807459.993,0,4.42E-09,143.6806973,4.42E-09,0,1408.972508,425954.8814,637987.579,6397.344861,0.000114609,33924.78668,5245773.728,3439216.649,4.42E-09,1895.139481,13729.32228,1027.908778,0
Bristol Bay,Egegik,1990,12605427.23,0,1249.523143,2034.800149,0,0,4.68E-09,2415527.112,781317.552,5627.439188,0,10806.63448,4020182.861,5130350.331,16751.74006,0,213206.3329,8372.901032,0
Bristol Bay,Egegik,1991,9235470.327,0,3.85E-09,2368.244704,3.86E-09,0,1175.825133,699118.6227,3246243.186,2769.189632,0,69292.08606,4062145.448,1102467.008,8675.304536,0,4118.733437,37096.6785,0
Bristol Bay,Egegik,1992,17890992.67,0,4.57E-09,2318.393414,4.58E-09,0,0,296195.2317,4224764.32,68372.94388,0,106273.6394,8870956.788,4210470.477,4.58E-09,5631.416118,95077.48947,10931.96937,0
Bristol Bay,Egegik,1993,24250547.86,0,0,5.11E-09,0,0,5.11E-09,199211.8838,1049593.954,134446.6059,0,37449.16522,11121318.38,11458635.48,56070.43983,0,154845.9237,38976.02911,0
Bristol Bay,Egegik,1994,12738312.48,955.073498,4437.382105,7.39E-09,4.93E-09,0,1450.213638,393971.1798,251240.4834,5736.633603,0,73045.60676,5179386.219,6458564.46,44043.87801,2127.55088,257263.59,66090.2101,0
Bristol Bay,Egegik,1995,15374929.54,0,1242.510739,741.7222696,6.00E-09,0,63.16474969,1208928.897,729603.3979,4115.281097,0,18657.04382,8809854.65,4242640.525,3860.793661,2909.728032,189470.8816,162840.94,0
Bristol Bay,Egegik,1996,12416197.41,0,0,10943.33897,312.360153,0,3.21E-09,239876.5842,2874740.517,5081.915157,0,38890.87383,3223466.051,5980914.375,435.9834347,0,13130.0753,28405.33357,0
Bristol Bay,Egegik,1997,7932122.51,0,131.171809,0.002928068,1620.284414,0,7731.613276,117628.6429,531796.3407,25215.05638,0,30535.03736,4580342.544,2573855.012,32457.54503,2397.254913,9062.117945,19349.88608,0
Bristol Bay,Egegik,1998,4689597.352,0,0,1.52E-09,0,0,3546.446282,249363.1284,329344.1039,2780.660594,0,67291.02486,800145.2432,3190111.533,135.8177163,0,38919.2617,7960.131899,0
Bristol Bay,Egegik,1999,6481074.188,0,0,0,0,0,363.4245249,1495268.136,493716.3267,1.388627243,0,3043.059992,3805468.747,653288.0219,9411.441069,0,1217.834367,19295.8078,0
Bristol Bay,Egegik,2000,8168699.046,0,0,0,0.423152146,0,0,412382.558,2696123.583,2.538912882,0,3483.771483,1726750.275,3299275.75,0,0,26806.42792,3873.718549,0
Bristol Bay,Egegik,2001,3566444.179,0,0,1.975961859,0,0,1.580769488,17162.12618,1386366.082,18707.38499,4.35E-09,18742.28587,542540.1817,1539472.475,21866.70581,2445.900112,11312.00123,7825.479233,0
Bristol Bay,Egegik,2002,5544321.673,0,0.386150113,0,0,0,0,20334.58667,177854.7415,21943.93582,0,12649.32655,3493430.969,1749165.386,13866.2393,9875.85863,30409.31159,14790.93221,0
Bristol Bay,Egegik,2003,3217355.65,0,0,0,0,0,542.222256,162299.8082,76433.63576,15.51619174,1.52E-09,171813.9565,490761.3772,2069386.181,3087.505859,89.15773996,233786.7306,9139.558904,0
Bristol Bay,Egegik,2004,11642669.27,0,0,0.473039594,0,0,0,1302473.624,395983.3164,3.030856658,0,25104.91574,9207076.019,654091.7523,2145.171801,0,15139.15702,40651.59935,0.213015656
Bristol Bay,Egegik,2005,9402204.392,0,0,0.524640857,0,0,27641.40979,292655.8056,2432554.434,207.3163545,0,47658.73069,3546271.313,3035602.319,954.2067168,0,18602.31652,56.01601547,0
Bristol Bay,Egegik,2006,8613841.937,0,0,246.4477299,1765.235867,0,19080.61442,1450971.282,797157.9169,33426.02034,0,45866.39923,1585956.61,4647480.756,2034.503031,0,18902.43969,10953.71219,0
Bristol Bay,Egegik,2007,7395032.415,0,0,0,0,0,23434.37136,1984955.74,2203107.667,458.7181411,0,41158.69163,1050682.287,2059102.148,23089.71877,0,919.5032728,8123.570031,0
Bristol Bay,Egegik,2008,7827635.459,0,0,3.32E-09,3.32E-09,0,4350.028203,2789827.273,2552431.043,1520.443537,3.32E-09,39826.97871,1926995.458,511617.5662,3.32E-09,0,561.9289678,504.739294,0
Bristol Bay,Egegik,2009,12269670.95,0,0,0,0,0,7819.500355,470725.9129,3459265.927,18806.45855,0,36928.62309,6022979.239,2245895.782,4.44E-08,2270.425799,4979.08164,0,0
Bristol Bay,Egegik,2010,5145650.237,0,0,3.13E-09,3.13E-09,0,8768.602126,144943.0238,202329.2423,4.69E-09,0,121161.3725,2866201.437,1767627.2,5191.341495,739.5011535,26666.74935,2021.767012,0
Bristol Bay,Egegik,2011,4604185.017,0,0,2.57E-09,2.57E-09,0,317.0901761,53088.11786,253935.8087,19.35867817,0,71868.14726,1632027.244,2550952.985,375.0978908,317.090178,33876.21935,7407.857595,0
Bristol Bay,Egegik,2012,5925626.757,0,0,1041.558888,2.87E-09,0,5486.43361,630407.6729,429490.2664,1720.048567,0,58269.88017,3377632.461,1370541.09,6192.516352,2175.135609,29958.39576,12711.29796,0
Bristol Bay,Egegik,2013,5125755.372,0,0,0,1.87E-08,0,10191.8428,305233.8809,1090910.89,13.78131595,3.68E-07,122199.4693,1104841.671,2457309.12,1.45E-08,1581.7737,21920.20006,11552.74315,0
Bristol Bay,Egegik,2014,5081311.045,0,7212.434443,990.815486,0,0,36548.02133,537683.0005,488974.6662,16.05962537,0,274215.9285,2763497.815,943565.4942,4010.976761,7959.834908,483.56351,16152.4348,0
Bristol Bay,Egegik,2015,8507572.745,0,0,1969.760672,0,0,38196.98515,444733.7087,671671.9322,8427.644205,0,532951.3598,5984739.945,785871.7985,0,18840.54593,20169.0652,0,0
Bristol Bay,Egegik,2016,9891849.248,0,0,0,0,0,162141.3582,1977511.298,1095740.232,4.42E-09,0,353152.0361,3901937.637,2345583.766,4.42E-09,1227.028026,54555.89253,4.46E-09,0
Bristol Bay,Egegik,2017,12441095.33,0,0,0,0,0,102285.9826,2859582.091,1278331.312,4106.949619,0,88058.60987,4775925.407,3275009.228,0,2469.852707,42412.79346,12913.10571,0
Bristol Bay,Egegik,2018,6104312.171,0,0,0,0,0,295277.6184,2156590.673,1945680.959,2657.491685,0.140892024,73755.47578,467779.9452,1137566.6,17.38853239,1622.340702,3721.571738,19641.96611,0
Bristol Bay,Egegik,2019,15434052.03,0,0,0,0,0,29390.8852,11553433.83,2005941.473,17.95531343,0,66998.6597,1280264.215,495688.8507,0,0,0,2316.16283,0
Bristol Bay,Egegik,2020,15597218.53,0,0,0,0,0,181713.5826,1774510.281,12280095.54,4.72E-09,0,168096.9766,993180.6763,198213.8281,0,0,1407.646398,0,0
Bristol Bay,Egegik,2021,7368239.366,1.05E-06,1.05E-06,1.05E-06,1.06E-06,1.06E-06,294139.3547,3928522.748,222244.9081,0.000369759,1.06E-06,366575.2379,2276904.223,279852.8917,0.002709278,1.05E-06,1.05E-06,1.05E-06,1.06E-06
Bristol Bay,Egegik,2022,18151847.64,1.04E-06,1.05E-06,1.05E-06,1.05E-06,1.04E-06,36671.88404,5907225.246,4660092.631,4512.024163,1.04E-06,62869.58013,6744189.763,736199.3054,1.05E-06,1.04E-06,87.2038139,1.05E-06,1.05E-06
Bristol Bay,Egegik,2023,14814304.02,1.02E-06,1.02E-06,1.02E-06,1.02E-06,1.02E-06,91287.91376,265771.6195,6441568.513,23654.84461,1.02E-06,140140.5807,1017403.947,6832852.763,0.00024993,1.02E-06,1623.842015,1.02E-06,1.02E-06
Bristol Bay,Igushik,1963,136350.6973,0,0,8.50E-10,0,0,6.07E-10,75778.78687,37356.73041,0,0,6.07E-10,14002.16949,9213.010555,0,0,0,0,0
Bristol Bay,Igushik,1964,191054.0897,0,6.37E-10,263.8505683,7.03E-08,0,0,41541.88413,90589.30515,0,0,106.3387168,45064.43144,13488.27968,0,0,0,0,0
Bristol Bay,Igushik,1965,297253.0947,0,0,78.10225397,0,0,0,28373.44174,225973.2496,0,0,0,26634.63426,16193.66688,0,0,0,0,0
Bristol Bay,Igushik,1966,310078.4221,0,0,860.108547,0,0,0,16810.87257,253124.412,8.94E-10,0,0,9652.727169,29630.30183,0,0,8.94E-10,0,0
Bristol Bay,Igushik,1967,412373.6031,0,104.711145,292.2117282,2.74E-09,0,0,196557.5336,200761.5398,210.5648341,0,0,5143.667602,9303.374381,0,0,0,0,0
Bristol Bay,Igushik,1968,290685.7164,0,1.48E-09,506.8515337,1.37E-09,0,299.1034958,124313.0398,137345.6609,1.37E-09,0,261.3938201,22418.40628,5541.260554,0,0,0,0,0
Bristol Bay,Igushik,1969,759994.2305,0,3.31E-09,4.71E-09,0,0,3.18E-09,319406.4272,325005.4928,0,0,4.45E-09,103991.0009,11591.30955,0,0,0,5.22E-09,0
