"broodYr","retYr","System","fwAge","oAge","ret"
1951,1955,"Alagnak",2,1,0
1952,1956,"Alagnak",2,1,0
1953,1957,"Alagnak",2,1,0
1954,1958,"Alagnak",2,1,2.93
1955,1959,"Alagnak",2,1,0
1956,1960,"Alagnak",2,1,0
1957,1961,"Alagnak",2,1,0
1958,1962,"Alagnak",2,1,0
1950,1955,"Alagnak",0,4,0
1951,1956,"Alagnak",0,4,0
1952,1957,"Alagnak",0,4,0
1953,1958,"Alagnak",0,4,0
1954,1959,"Alagnak",0,4,0
1955,1960,"Alagnak",0,4,0
1956,1961,"Alagnak",0,4,0
1957,1962,"Alagnak",0,4,0
1950,1955,"Alagnak",1,3,0
1951,1956,"Alagnak",1,3,294
1952,1957,"Alagnak",1,3,295
1953,1958,"Alagnak",1,3,11
1954,1959,"Alagnak",1,3,109
1955,1960,"Alagnak",1,3,237
1956,1961,"Alagnak",1,3,459
1957,1962,"Alagnak",1,3,23
1950,1955,"Alagnak",2,2,0
1951,1956,"Alagnak",2,2,343
1952,1957,"Alagnak",2,2,131
1953,1958,"Alagnak",2,2,64
1954,1959,"Alagnak",2,2,392
1955,1960,"Alagnak",2,2,26
1956,1961,"Alagnak",2,2,0
1957,1962,"Alagnak",2,2,43
1950,1955,"Alagnak",3,1,0
1951,1956,"Alagnak",3,1,0
1952,1957,"Alagnak",3,1,0
1953,1958,"Alagnak",3,1,0
1954,1959,"Alagnak",3,1,0
1955,1960,"Alagnak",3,1,0
1956,1961,"Alagnak",3,1,0
1957,1962,"Alagnak",3,1,0
1950,1956,"Alagnak",0,5,0
1951,1957,"Alagnak",0,5,0
1952,1958,"Alagnak",0,5,0
1953,1959,"Alagnak",0,5,0
1954,1960,"Alagnak",0,5,0
1955,1961,"Alagnak",0,5,0
1956,1962,"Alagnak",0,5,0
1950,1956,"Alagnak",1,4,0
1951,1957,"Alagnak",1,4,0
1952,1958,"Alagnak",1,4,0
1953,1959,"Alagnak",1,4,0
1954,1960,"Alagnak",1,4,0
1955,1961,"Alagnak",1,4,0
1956,1962,"Alagnak",1,4,0
1950,1956,"Alagnak",2,3,262
1951,1957,"Alagnak",2,3,43
1952,1958,"Alagnak",2,3,115
1953,1959,"Alagnak",2,3,0
1954,1960,"Alagnak",2,3,141
1955,1961,"Alagnak",2,3,44
1956,1962,"Alagnak",2,3,38
1950,1956,"Alagnak",3,2,0
1951,1957,"Alagnak",3,2,0
1952,1958,"Alagnak",3,2,0
1953,1959,"Alagnak",3,2,0
1954,1960,"Alagnak",3,2,0
1955,1961,"Alagnak",3,2,0
1956,1962,"Alagnak",3,2,3
1950,1957,"Alagnak",1,5,0
1951,1958,"Alagnak",1,5,0
1952,1959,"Alagnak",1,5,0
1953,1960,"Alagnak",1,5,0
1954,1961,"Alagnak",1,5,0
1955,1962,"Alagnak",1,5,0
1950,1957,"Alagnak",2,4,0
1951,1958,"Alagnak",2,4,0
1952,1959,"Alagnak",2,4,0
1953,1960,"Alagnak",2,4,0
1954,1961,"Alagnak",2,4,0
1955,1962,"Alagnak",2,4,0
1950,1957,"Alagnak",3,3,0
1951,1958,"Alagnak",3,3,0
1952,1959,"Alagnak",3,3,1
1953,1960,"Alagnak",3,3,0
1954,1961,"Alagnak",3,3,1
1955,1962,"Alagnak",3,3,0
1950,1953,"Naknek",0,2,0
1951,1954,"Naknek",0,2,0
1952,1955,"Naknek",0,2,0
1953,1956,"Naknek",0,2,0
1954,1957,"Naknek",0,2,0
1955,1958,"Naknek",0,2,0
1956,1959,"Naknek",0,2,0
1957,1960,"Naknek",0,2,0
1958,1961,"Naknek",0,2,0
1959,1962,"Naknek",0,2,0
1950,1953,"Naknek",1,1,0
1951,1954,"Naknek",1,1,0
1952,1955,"Naknek",1,1,0
1953,1956,"Naknek",1,1,0
1954,1957,"Naknek",1,1,0
1955,1958,"Naknek",1,1,0
1956,1959,"Naknek",1,1,1.134
1957,1960,"Naknek",1,1,0
1958,1961,"Naknek",1,1,0
1959,1962,"Naknek",1,1,0.495
1950,1954,"Naknek",0,3,0
1951,1955,"Naknek",0,3,0
1952,1956,"Naknek",0,3,0
1953,1957,"Naknek",0,3,0
1954,1958,"Naknek",0,3,0
1955,1959,"Naknek",0,3,0
1956,1960,"Naknek",0,3,0
1957,1961,"Naknek",0,3,0
1958,1962,"Naknek",0,3,0
1950,1954,"Naknek",1,2,0
1951,1955,"Naknek",1,2,0
1952,1956,"Naknek",1,2,79
1953,1957,"Naknek",1,2,24
1954,1958,"Naknek",1,2,85
1955,1959,"Naknek",1,2,720
1956,1960,"Naknek",1,2,473
1957,1961,"Naknek",1,2,53
1958,1962,"Naknek",1,2,112
1950,1954,"Naknek",2,1,0
1951,1955,"Naknek",2,1,0
1952,1956,"Naknek",2,1,0
1953,1957,"Naknek",2,1,0
1954,1958,"Naknek",2,1,18.861
1955,1959,"Naknek",2,1,1.34
1956,1960,"Naknek",2,1,0
1957,1961,"Naknek",2,1,1.815
1958,1962,"Naknek",2,1,4.092
1950,1955,"Naknek",0,4,0
1951,1956,"Naknek",0,4,0
1952,1957,"Naknek",0,4,0
1953,1958,"Naknek",0,4,0
1954,1959,"Naknek",0,4,0
1955,1960,"Naknek",0,4,0
1956,1961,"Naknek",0,4,0
1957,1962,"Naknek",0,4,0
1950,1955,"Naknek",1,3,0
1951,1956,"Naknek",1,3,1295
1952,1957,"Naknek",1,3,1199
1953,1958,"Naknek",1,3,135
1954,1959,"Naknek",1,3,302
1955,1960,"Naknek",1,3,820
1956,1961,"Naknek",1,3,1701
1957,1962,"Naknek",1,3,329
1950,1955,"Naknek",2,2,0
1951,1956,"Naknek",2,2,688
1952,1957,"Naknek",2,2,108
1953,1958,"Naknek",2,2,177
1954,1959,"Naknek",2,2,2129
1955,1960,"Naknek",2,2,214
1956,1961,"Naknek",2,2,3
1957,1962,"Naknek",2,2,505
1950,1955,"Naknek",3,1,0
1951,1956,"Naknek",3,1,0
1952,1957,"Naknek",3,1,0
1953,1958,"Naknek",3,1,2.92
1954,1959,"Naknek",3,1,0
1955,1960,"Naknek",3,1,0
1956,1961,"Naknek",3,1,0
1957,1962,"Naknek",3,1,0.346
1950,1956,"Naknek",0,5,0
1951,1957,"Naknek",0,5,0
1952,1958,"Naknek",0,5,0
1953,1959,"Naknek",0,5,0
1954,1960,"Naknek",0,5,0
1955,1961,"Naknek",0,5,0
1956,1962,"Naknek",0,5,0
1950,1956,"Naknek",1,4,0
1951,1957,"Naknek",1,4,0
1952,1958,"Naknek",1,4,7
1953,1959,"Naknek",1,4,0
1954,1960,"Naknek",1,4,0
1955,1961,"Naknek",1,4,0
1956,1962,"Naknek",1,4,17
1950,1956,"Naknek",2,3,1093
1951,1957,"Naknek",2,3,1250
1952,1958,"Naknek",2,3,176
1953,1959,"Naknek",2,3,206
1954,1960,"Naknek",2,3,587
1955,1961,"Naknek",2,3,88
1956,1962,"Naknek",2,3,304
1950,1956,"Naknek",3,2,0
1951,1957,"Naknek",3,2,0
1952,1958,"Naknek",3,2,1
1953,1959,"Naknek",3,2,42
1954,1960,"Naknek",3,2,0
1955,1961,"Naknek",3,2,2
1956,1962,"Naknek",3,2,0
1950,1957,"Naknek",1,5,0
1951,1958,"Naknek",1,5,0
1952,1959,"Naknek",1,5,0
1953,1960,"Naknek",1,5,0
1954,1961,"Naknek",1,5,0
1955,1962,"Naknek",1,5,0
1950,1957,"Naknek",2,4,2
1951,1958,"Naknek",2,4,1
1952,1959,"Naknek",2,4,0
1953,1960,"Naknek",2,4,0
1954,1961,"Naknek",2,4,13
1955,1962,"Naknek",2,4,4
1950,1957,"Naknek",3,3,5
1951,1958,"Naknek",3,3,0
1952,1959,"Naknek",3,3,2
1953,1960,"Naknek",3,3,1
1954,1961,"Naknek",3,3,3
1955,1962,"Naknek",3,3,2
1949,1952,"Egegik",0,2,0
1950,1953,"Egegik",0,2,0
1951,1954,"Egegik",0,2,0
1952,1955,"Egegik",0,2,0
1953,1956,"Egegik",0,2,0
1954,1957,"Egegik",0,2,0
1955,1958,"Egegik",0,2,0
1956,1959,"Egegik",0,2,0
1957,1960,"Egegik",0,2,0
1958,1961,"Egegik",0,2,0
1959,1962,"Egegik",0,2,0
1949,1952,"Egegik",1,1,0
1950,1953,"Egegik",1,1,0
1951,1954,"Egegik",1,1,0
1952,1955,"Egegik",1,1,0
1953,1956,"Egegik",1,1,0
1954,1957,"Egegik",1,1,0
1955,1958,"Egegik",1,1,1.108
1956,1959,"Egegik",1,1,5.949
1957,1960,"Egegik",1,1,0
1958,1961,"Egegik",1,1,0
1959,1962,"Egegik",1,1,0
1949,1953,"Egegik",0,3,0
1950,1954,"Egegik",0,3,0
1951,1955,"Egegik",0,3,0
1952,1956,"Egegik",0,3,0
1953,1957,"Egegik",0,3,0
1954,1958,"Egegik",0,3,0
1955,1959,"Egegik",0,3,0
1956,1960,"Egegik",0,3,0
1957,1961,"Egegik",0,3,0
1958,1962,"Egegik",0,3,0
1949,1953,"Egegik",1,2,0
1950,1954,"Egegik",1,2,0
1951,1955,"Egegik",1,2,0
1952,1956,"Egegik",1,2,623
1953,1957,"Egegik",1,2,26
1954,1958,"Egegik",1,2,11
1955,1959,"Egegik",1,2,20
1956,1960,"Egegik",1,2,2025
1957,1961,"Egegik",1,2,37
1958,1962,"Egegik",1,2,42
1949,1953,"Egegik",2,1,0
1950,1954,"Egegik",2,1,0
1951,1955,"Egegik",2,1,0
1952,1956,"Egegik",2,1,0
1953,1957,"Egegik",2,1,0
1954,1958,"Egegik",2,1,3.628
1955,1959,"Egegik",2,1,0.208
1956,1960,"Egegik",2,1,0
1957,1961,"Egegik",2,1,0
1958,1962,"Egegik",2,1,2.432
1949,1954,"Egegik",0,4,0
1950,1955,"Egegik",0,4,0
1951,1956,"Egegik",0,4,0
1952,1957,"Egegik",0,4,0
1953,1958,"Egegik",0,4,0
1954,1959,"Egegik",0,4,0
1955,1960,"Egegik",0,4,0
1956,1961,"Egegik",0,4,0
1957,1962,"Egegik",0,4,0
1949,1954,"Egegik",1,3,0
1950,1955,"Egegik",1,3,0
1951,1956,"Egegik",1,3,325
1952,1957,"Egegik",1,3,446
1953,1958,"Egegik",1,3,39
1954,1959,"Egegik",1,3,13
1955,1960,"Egegik",1,3,163
1956,1961,"Egegik",1,3,3190
1957,1962,"Egegik",1,3,43
1949,1954,"Egegik",2,2,0
1950,1955,"Egegik",2,2,0
1951,1956,"Egegik",2,2,1018
1952,1957,"Egegik",2,2,241
1953,1958,"Egegik",2,2,435
1954,1959,"Egegik",2,2,1190
1955,1960,"Egegik",2,2,672
1956,1961,"Egegik",2,2,925
1957,1962,"Egegik",2,2,1096
1949,1954,"Egegik",3,1,0
1950,1955,"Egegik",3,1,0
1951,1956,"Egegik",3,1,0
1952,1957,"Egegik",3,1,0
1953,1958,"Egegik",3,1,2.063
1954,1959,"Egegik",3,1,0
1955,1960,"Egegik",3,1,0
1956,1961,"Egegik",3,1,0
1957,1962,"Egegik",3,1,0
1949,1955,"Egegik",0,5,0
1950,1956,"Egegik",0,5,0
1951,1957,"Egegik",0,5,0
1952,1958,"Egegik",0,5,0
1953,1959,"Egegik",0,5,0
1954,1960,"Egegik",0,5,0
1955,1961,"Egegik",0,5,0
1956,1962,"Egegik",0,5,0
1949,1955,"Egegik",1,4,0
1950,1956,"Egegik",1,4,0
1951,1957,"Egegik",1,4,1
1952,1958,"Egegik",1,4,1
1953,1959,"Egegik",1,4,0
1954,1960,"Egegik",1,4,0
1955,1961,"Egegik",1,4,0
1956,1962,"Egegik",1,4,2
1949,1955,"Egegik",2,3,0
1950,1956,"Egegik",2,3,274
1951,1957,"Egegik",2,3,1301
1952,1958,"Egegik",2,3,295
1953,1959,"Egegik",2,3,337
1954,1960,"Egegik",2,3,641
1955,1961,"Egegik",2,3,396
1956,1962,"Egegik",2,3,685
1949,1955,"Egegik",3,2,0
1950,1956,"Egegik",3,2,70
1951,1957,"Egegik",3,2,2
1952,1958,"Egegik",3,2,19
1953,1959,"Egegik",3,2,254
1954,1960,"Egegik",3,2,87
1955,1961,"Egegik",3,2,6
1956,1962,"Egegik",3,2,1
1949,1956,"Egegik",1,5,0
1950,1957,"Egegik",1,5,0
1951,1958,"Egegik",1,5,0
1952,1959,"Egegik",1,5,0
1953,1960,"Egegik",1,5,0
1954,1961,"Egegik",1,5,0
1955,1962,"Egegik",1,5,0
1949,1956,"Egegik",2,4,0
1950,1957,"Egegik",2,4,4
1951,1958,"Egegik",2,4,0
1952,1959,"Egegik",2,4,2
1953,1960,"Egegik",2,4,0
1954,1961,"Egegik",2,4,0
1955,1962,"Egegik",2,4,1
1949,1956,"Egegik",3,3,14
1950,1957,"Egegik",3,3,23
1951,1958,"Egegik",3,3,6
1952,1959,"Egegik",3,3,5
1953,1960,"Egegik",3,3,12
1954,1961,"Egegik",3,3,46
1955,1962,"Egegik",3,3,6
1949,1952,"Ugashik",0,2,0
1950,1953,"Ugashik",0,2,0
1951,1954,"Ugashik",0,2,0
1952,1955,"Ugashik",0,2,0
1953,1956,"Ugashik",0,2,0
1954,1957,"Ugashik",0,2,0
1955,1958,"Ugashik",0,2,0
1956,1959,"Ugashik",0,2,1
1957,1960,"Ugashik",0,2,0
1958,1961,"Ugashik",0,2,0
1959,1962,"Ugashik",0,2,0
1949,1952,"Ugashik",1,1,0
1950,1953,"Ugashik",1,1,0
1951,1954,"Ugashik",1,1,0
1952,1955,"Ugashik",1,1,0
1953,1956,"Ugashik",1,1,0
1954,1957,"Ugashik",1,1,0
1955,1958,"Ugashik",1,1,0.462
1956,1959,"Ugashik",1,1,11.735
1957,1960,"Ugashik",1,1,0
1958,1961,"Ugashik",1,1,0
1959,1962,"Ugashik",1,1,0
1949,1953,"Ugashik",0,3,0
1950,1954,"Ugashik",0,3,0
1951,1955,"Ugashik",0,3,0
1952,1956,"Ugashik",0,3,1
1953,1957,"Ugashik",0,3,0
1954,1958,"Ugashik",0,3,0
1955,1959,"Ugashik",0,3,1
1956,1960,"Ugashik",0,3,0
1957,1961,"Ugashik",0,3,1
1958,1962,"Ugashik",0,3,0
1949,1953,"Ugashik",1,2,0
1950,1954,"Ugashik",1,2,0
1951,1955,"Ugashik",1,2,0
1952,1956,"Ugashik",1,2,508
1953,1957,"Ugashik",1,2,216
1954,1958,"Ugashik",1,2,24
1955,1959,"Ugashik",1,2,17
1956,1960,"Ugashik",1,2,3165
1957,1961,"Ugashik",1,2,35
1958,1962,"Ugashik",1,2,63
1949,1953,"Ugashik",2,1,0
1950,1954,"Ugashik",2,1,0
1951,1955,"Ugashik",2,1,0
1952,1956,"Ugashik",2,1,0
1953,1957,"Ugashik",2,1,0
1954,1958,"Ugashik",2,1,3.24
1955,1959,"Ugashik",2,1,1.329
1956,1960,"Ugashik",2,1,0
1957,1961,"Ugashik",2,1,0
1958,1962,"Ugashik",2,1,0.409
1949,1954,"Ugashik",0,4,0
1950,1955,"Ugashik",0,4,0
1951,1956,"Ugashik",0,4,1
1952,1957,"Ugashik",0,4,0
1953,1958,"Ugashik",0,4,0
1954,1959,"Ugashik",0,4,0
1955,1960,"Ugashik",0,4,0
1956,1961,"Ugashik",0,4,0
1957,1962,"Ugashik",0,4,0
1949,1954,"Ugashik",1,3,0
1950,1955,"Ugashik",1,3,0
1951,1956,"Ugashik",1,3,47
1952,1957,"Ugashik",1,3,391
1953,1958,"Ugashik",1,3,249
1954,1959,"Ugashik",1,3,28
1955,1960,"Ugashik",1,3,33
1956,1961,"Ugashik",1,3,837
1957,1962,"Ugashik",1,3,105
1949,1954,"Ugashik",2,2,0
1950,1955,"Ugashik",2,2,0
1951,1956,"Ugashik",2,2,174
1952,1957,"Ugashik",2,2,209
1953,1958,"Ugashik",2,2,420
1954,1959,"Ugashik",2,2,395
1955,1960,"Ugashik",2,2,118
1956,1961,"Ugashik",2,2,80
1957,1962,"Ugashik",2,2,354
1949,1954,"Ugashik",3,1,0
1950,1955,"Ugashik",3,1,0
1951,1956,"Ugashik",3,1,0
1952,1957,"Ugashik",3,1,0
1953,1958,"Ugashik",3,1,0
1954,1959,"Ugashik",3,1,0
1955,1960,"Ugashik",3,1,0
1956,1961,"Ugashik",3,1,0
1957,1962,"Ugashik",3,1,0
1949,1955,"Ugashik",0,5,0
1950,1956,"Ugashik",0,5,0
1951,1957,"Ugashik",0,5,0
1952,1958,"Ugashik",0,5,0
1953,1959,"Ugashik",0,5,0
1954,1960,"Ugashik",0,5,0
1955,1961,"Ugashik",0,5,0
1956,1962,"Ugashik",0,5,0
1949,1955,"Ugashik",1,4,0
1950,1956,"Ugashik",1,4,1
1951,1957,"Ugashik",1,4,2
1952,1958,"Ugashik",1,4,0
1953,1959,"Ugashik",1,4,0
1954,1960,"Ugashik",1,4,0
1955,1961,"Ugashik",1,4,0
1956,1962,"Ugashik",1,4,2
1949,1955,"Ugashik",2,3,0
1950,1956,"Ugashik",2,3,45
1951,1957,"Ugashik",2,3,118
1952,1958,"Ugashik",2,3,78
1953,1959,"Ugashik",2,3,216
1954,1960,"Ugashik",2,3,61
1955,1961,"Ugashik",2,3,7
1956,1962,"Ugashik",2,3,35
1949,1955,"Ugashik",3,2,0
1950,1956,"Ugashik",3,2,0
1951,1957,"Ugashik",3,2,1
1952,1958,"Ugashik",3,2,2
1953,1959,"Ugashik",3,2,7
1954,1960,"Ugashik",3,2,0
1955,1961,"Ugashik",3,2,0
1956,1962,"Ugashik",3,2,0
1949,1956,"Ugashik",1,5,0
1950,1957,"Ugashik",1,5,0
1951,1958,"Ugashik",1,5,0
1952,1959,"Ugashik",1,5,0
1953,1960,"Ugashik",1,5,0
1954,1961,"Ugashik",1,5,0
1955,1962,"Ugashik",1,5,0
1949,1956,"Ugashik",2,4,0
1950,1957,"Ugashik",2,4,0
1951,1958,"Ugashik",2,4,0
1952,1959,"Ugashik",2,4,0
1953,1960,"Ugashik",2,4,0
1954,1961,"Ugashik",2,4,0
1955,1962,"Ugashik",2,4,0
1949,1956,"Ugashik",3,3,2
1950,1957,"Ugashik",3,3,3
1951,1958,"Ugashik",3,3,0
1952,1959,"Ugashik",3,3,0
1953,1960,"Ugashik",3,3,0
1954,1961,"Ugashik",3,3,0
1955,1962,"Ugashik",3,3,0
1950,1953,"Wood",0,2,0
1951,1954,"Wood",0,2,0
1952,1955,"Wood",0,2,0
1953,1956,"Wood",0,2,0
1954,1957,"Wood",0,2,0
1955,1958,"Wood",0,2,0
1956,1959,"Wood",0,2,0
1957,1960,"Wood",0,2,0
1958,1961,"Wood",0,2,0
1959,1962,"Wood",0,2,0
1950,1953,"Wood",1,1,0
1951,1954,"Wood",1,1,0
1952,1955,"Wood",1,1,0
1953,1956,"Wood",1,1,0
1954,1957,"Wood",1,1,0
1955,1958,"Wood",1,1,0
1956,1959,"Wood",1,1,0
1957,1960,"Wood",1,1,0.466
1958,1961,"Wood",1,1,1.144
1959,1962,"Wood",1,1,0
1950,1954,"Wood",0,3,0
1951,1955,"Wood",0,3,0
1952,1956,"Wood",0,3,0
1953,1957,"Wood",0,3,0
1954,1958,"Wood",0,3,0
1955,1959,"Wood",0,3,0
1956,1960,"Wood",0,3,48
1957,1961,"Wood",0,3,21
1958,1962,"Wood",0,3,0
1950,1954,"Wood",1,2,0
1951,1955,"Wood",1,2,0
1952,1956,"Wood",1,2,690
1953,1957,"Wood",1,2,301
1954,1958,"Wood",1,2,1237
1955,1959,"Wood",1,2,2407
1956,1960,"Wood",1,2,774
1957,1961,"Wood",1,2,136
1958,1962,"Wood",1,2,2145
1950,1954,"Wood",2,1,0
1951,1955,"Wood",2,1,0
1952,1956,"Wood",2,1,0
1953,1957,"Wood",2,1,0
1954,1958,"Wood",2,1,0
1955,1959,"Wood",2,1,0
1956,1960,"Wood",2,1,0
1957,1961,"Wood",2,1,0
1958,1962,"Wood",2,1,1.322
1950,1955,"Wood",0,4,0
1951,1956,"Wood",0,4,0
1952,1957,"Wood",0,4,0
1953,1958,"Wood",0,4,0
1954,1959,"Wood",0,4,0
1955,1960,"Wood",0,4,0
1956,1961,"Wood",0,4,0
1957,1962,"Wood",0,4,0
1950,1955,"Wood",1,3,0
1951,1956,"Wood",1,3,456
1952,1957,"Wood",1,3,558
1953,1958,"Wood",1,3,331
1954,1959,"Wood",1,3,140
1955,1960,"Wood",1,3,833
1956,1961,"Wood",1,3,627
1957,1962,"Wood",1,3,257
1950,1955,"Wood",2,2,0
1951,1956,"Wood",2,2,290
1952,1957,"Wood",2,2,29
1953,1958,"Wood",2,2,139
1954,1959,"Wood",2,2,1085
1955,1960,"Wood",2,2,401
1956,1961,"Wood",2,2,24
1957,1962,"Wood",2,2,35
1950,1955,"Wood",3,1,0
1951,1956,"Wood",3,1,0
1952,1957,"Wood",3,1,0
1953,1958,"Wood",3,1,0
1954,1959,"Wood",3,1,0
1955,1960,"Wood",3,1,0
1956,1961,"Wood",3,1,0
1957,1962,"Wood",3,1,0
1950,1956,"Wood",0,5,0
1951,1957,"Wood",0,5,0
1952,1958,"Wood",0,5,0
1953,1959,"Wood",0,5,0
1954,1960,"Wood",0,5,0
1955,1961,"Wood",0,5,0
1956,1962,"Wood",0,5,0
1950,1956,"Wood",1,4,1
1951,1957,"Wood",1,4,3
1952,1958,"Wood",1,4,2
1953,1959,"Wood",1,4,2
1954,1960,"Wood",1,4,1
1955,1961,"Wood",1,4,5
1956,1962,"Wood",1,4,0
1950,1956,"Wood",2,3,57
1951,1957,"Wood",2,3,54
1952,1958,"Wood",2,3,34
1953,1959,"Wood",2,3,34
