stock_broodyr_age,production_stock_name,production_stock_code,broodyr,returnyr,age,total_broodyr_spawners,total_broodyr_EFS,total_broodyr_age1_smolt,total_broodyr_age2_smolt,total_broodyr_fry_estimate,num_recruits,hatchery_supplementation,active_spawning_channel,major_spawn_events,run_size_type,age_comp_method,stock_ID_quality,big_bar_flag,exclude_SR_modelling_spawners,exclude_SR_modelling_recruits
Late Stuart_1949_32,Late Stuart,2,1949,1952,32,107752,39085,NA,NA,NA,3433,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1949_41,Late Stuart,2,1949,1953,41,107752,39085,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1949_42,Late Stuart,2,1949,1953,42,107752,39085,NA,NA,NA,1526554,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1949_43,Late Stuart,2,1949,1953,43,107752,39085,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1949_51,Late Stuart,2,1949,1954,51,107752,39085,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1949_52,Late Stuart,2,1949,1954,52,107752,39085,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1949_53,Late Stuart,2,1949,1954,53,107752,39085,NA,NA,NA,215,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1949_62,Late Stuart,2,1949,1955,62,107752,39085,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,2,NA,Include,Include
Late Stuart_1949_63,Late Stuart,2,1949,1955,63,107752,39085,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,2,NA,Include,Include
Late Stuart_1949_64,Late Stuart,2,1949,1955,64,107752,39085,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,2,NA,Include,Include
Late Stuart_1949_72,Late Stuart,2,1949,1956,72,107752,39085,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1950_21,Late Stuart,2,1950,1952,21,5843,1834,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1950_31,Late Stuart,2,1950,1953,31,5843,1834,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1950_32,Late Stuart,2,1950,1953,32,5843,1834,NA,NA,NA,591,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1950_41,Late Stuart,2,1950,1954,41,5843,1834,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1950_42,Late Stuart,2,1950,1954,42,5843,1834,NA,NA,NA,36671,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1950_43,Late Stuart,2,1950,1954,43,5843,1834,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1950_51,Late Stuart,2,1950,1955,51,5843,1834,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,2,NA,Include,Include
Late Stuart_1950_52,Late Stuart,2,1950,1955,52,5843,1834,NA,NA,NA,2419,NA,NA,NA,post-DBE,NA,2,NA,Include,Include
Late Stuart_1950_53,Late Stuart,2,1950,1955,53,5843,1834,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,2,NA,Include,Include
Late Stuart_1950_62,Late Stuart,2,1950,1956,62,5843,1834,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1950_63,Late Stuart,2,1950,1956,63,5843,1834,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1950_64,Late Stuart,2,1950,1956,64,5843,1834,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1950_72,Late Stuart,2,1950,1957,72,5843,1834,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1951_21,Late Stuart,2,1951,1953,21,4402,1246,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1951_31,Late Stuart,2,1951,1954,31,4402,1246,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1951_32,Late Stuart,2,1951,1954,32,4402,1246,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1951_41,Late Stuart,2,1951,1955,41,4402,1246,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,2,NA,Include,Include
Late Stuart_1951_42,Late Stuart,2,1951,1955,42,4402,1246,NA,NA,NA,56085,NA,NA,NA,post-DBE,NA,2,NA,Include,Include
Late Stuart_1951_43,Late Stuart,2,1951,1955,43,4402,1246,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,2,NA,Include,Include
Late Stuart_1951_51,Late Stuart,2,1951,1956,51,4402,1246,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1951_52,Late Stuart,2,1951,1956,52,4402,1246,NA,NA,NA,7559,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1951_53,Late Stuart,2,1951,1956,53,4402,1246,NA,NA,NA,166,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1951_62,Late Stuart,2,1951,1957,62,4402,1246,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1951_63,Late Stuart,2,1951,1957,63,4402,1246,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1951_64,Late Stuart,2,1951,1957,64,4402,1246,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1951_72,Late Stuart,2,1951,1958,72,4402,1246,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1952_21,Late Stuart,2,1952,1954,21,1975,16,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1952_31,Late Stuart,2,1952,1955,31,1975,16,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,2,NA,Include,Include
Late Stuart_1952_32,Late Stuart,2,1952,1955,32,1975,16,NA,NA,NA,86,NA,NA,NA,post-DBE,NA,2,NA,Include,Include
Late Stuart_1952_41,Late Stuart,2,1952,1956,41,1975,16,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1952_42,Late Stuart,2,1952,1956,42,1975,16,NA,NA,NA,3858,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1952_43,Late Stuart,2,1952,1956,43,1975,16,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1952_51,Late Stuart,2,1952,1957,51,1975,16,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1952_52,Late Stuart,2,1952,1957,52,1975,16,NA,NA,NA,29,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1952_53,Late Stuart,2,1952,1957,53,1975,16,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1952_62,Late Stuart,2,1952,1958,62,1975,16,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1952_63,Late Stuart,2,1952,1958,63,1975,16,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1952_64,Late Stuart,2,1952,1958,64,1975,16,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1952_72,Late Stuart,2,1952,1959,72,1975,16,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1953_21,Late Stuart,2,1953,1955,21,369023,78686,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,2,NA,Include,Include
Late Stuart_1953_31,Late Stuart,2,1953,1956,31,369023,78686,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1953_32,Late Stuart,2,1953,1956,32,369023,78686,NA,NA,NA,830,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1953_41,Late Stuart,2,1953,1957,41,369023,78686,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1953_42,Late Stuart,2,1953,1957,42,369023,78686,NA,NA,NA,1548072,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1953_43,Late Stuart,2,1953,1957,43,369023,78686,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1953_51,Late Stuart,2,1953,1958,51,369023,78686,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1953_52,Late Stuart,2,1953,1958,52,369023,78686,NA,NA,NA,1470,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1953_53,Late Stuart,2,1953,1958,53,369023,78686,NA,NA,NA,1867,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1953_62,Late Stuart,2,1953,1959,62,369023,78686,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1953_63,Late Stuart,2,1953,1959,63,369023,78686,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1953_64,Late Stuart,2,1953,1959,64,369023,78686,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1953_72,Late Stuart,2,1953,1960,72,369023,78686,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,2,NA,Include,Include
Late Stuart_1954_21,Late Stuart,2,1954,1956,21,5470,2687,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1954_31,Late Stuart,2,1954,1957,31,5470,2687,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1954_32,Late Stuart,2,1954,1957,32,5470,2687,NA,NA,NA,150,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1954_41,Late Stuart,2,1954,1958,41,5470,2687,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1954_42,Late Stuart,2,1954,1958,42,5470,2687,NA,NA,NA,135111,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1954_43,Late Stuart,2,1954,1958,43,5470,2687,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1954_51,Late Stuart,2,1954,1959,51,5470,2687,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1954_52,Late Stuart,2,1954,1959,52,5470,2687,NA,NA,NA,2704,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1954_53,Late Stuart,2,1954,1959,53,5470,2687,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1954_62,Late Stuart,2,1954,1960,62,5470,2687,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,2,NA,Include,Include
Late Stuart_1954_63,Late Stuart,2,1954,1960,63,5470,2687,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,2,NA,Include,Include
Late Stuart_1954_64,Late Stuart,2,1954,1960,64,5470,2687,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,2,NA,Include,Include
Late Stuart_1954_72,Late Stuart,2,1954,1961,72,5470,2687,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1955_21,Late Stuart,2,1955,1957,21,7618,3274,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1955_31,Late Stuart,2,1955,1958,31,7618,3274,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1955_32,Late Stuart,2,1955,1958,32,7618,3274,NA,NA,NA,29,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1955_41,Late Stuart,2,1955,1959,41,7618,3274,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1955_42,Late Stuart,2,1955,1959,42,7618,3274,NA,NA,NA,50196,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1955_43,Late Stuart,2,1955,1959,43,7618,3274,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1955_51,Late Stuart,2,1955,1960,51,7618,3274,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,2,NA,Include,Include
Late Stuart_1955_52,Late Stuart,2,1955,1960,52,7618,3274,NA,NA,NA,1120,NA,NA,NA,post-DBE,NA,2,NA,Include,Include
Late Stuart_1955_53,Late Stuart,2,1955,1960,53,7618,3274,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,2,NA,Include,Include
Late Stuart_1955_62,Late Stuart,2,1955,1961,62,7618,3274,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1955_63,Late Stuart,2,1955,1961,63,7618,3274,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1955_64,Late Stuart,2,1955,1961,64,7618,3274,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1955_72,Late Stuart,2,1955,1962,72,7618,3274,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1956_21,Late Stuart,2,1956,1958,21,1454,466,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1956_31,Late Stuart,2,1956,1959,31,1454,466,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1956_32,Late Stuart,2,1956,1959,32,1454,466,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1956_41,Late Stuart,2,1956,1960,41,1454,466,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,2,NA,Include,Include
Late Stuart_1956_42,Late Stuart,2,1956,1960,42,1454,466,NA,NA,NA,13472,NA,NA,NA,post-DBE,NA,2,NA,Include,Include
Late Stuart_1956_43,Late Stuart,2,1956,1960,43,1454,466,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,2,NA,Include,Include
Late Stuart_1956_51,Late Stuart,2,1956,1961,51,1454,466,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1956_52,Late Stuart,2,1956,1961,52,1454,466,NA,NA,NA,32630,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1956_53,Late Stuart,2,1956,1961,53,1454,466,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1956_62,Late Stuart,2,1956,1962,62,1454,466,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1956_63,Late Stuart,2,1956,1962,63,1454,466,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1956_64,Late Stuart,2,1956,1962,64,1454,466,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1956_72,Late Stuart,2,1956,1963,72,1454,466,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1957_21,Late Stuart,2,1957,1959,21,531130,300038,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1957_31,Late Stuart,2,1957,1960,31,531130,300038,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,2,NA,Include,Include
Late Stuart_1957_32,Late Stuart,2,1957,1960,32,531130,300038,NA,NA,NA,874,NA,NA,NA,post-DBE,NA,2,NA,Include,Include
Late Stuart_1957_41,Late Stuart,2,1957,1961,41,531130,300038,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1957_42,Late Stuart,2,1957,1961,42,531130,300038,NA,NA,NA,1327094,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1957_43,Late Stuart,2,1957,1961,43,531130,300038,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1957_51,Late Stuart,2,1957,1962,51,531130,300038,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1957_52,Late Stuart,2,1957,1962,52,531130,300038,NA,NA,NA,1916,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1957_53,Late Stuart,2,1957,1962,53,531130,300038,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1957_62,Late Stuart,2,1957,1963,62,531130,300038,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1957_63,Late Stuart,2,1957,1963,63,531130,300038,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1957_64,Late Stuart,2,1957,1963,64,531130,300038,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1957_72,Late Stuart,2,1957,1964,72,531130,300038,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,2,NA,Include,Include
Late Stuart_1958_21,Late Stuart,2,1958,1960,21,23638,13152,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,2,NA,Include,Include
Late Stuart_1958_31,Late Stuart,2,1958,1961,31,23638,13152,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1958_32,Late Stuart,2,1958,1961,32,23638,13152,NA,NA,NA,672,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1958_41,Late Stuart,2,1958,1962,41,23638,13152,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1958_42,Late Stuart,2,1958,1962,42,23638,13152,NA,NA,NA,53044,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1958_43,Late Stuart,2,1958,1962,43,23638,13152,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1958_51,Late Stuart,2,1958,1963,51,23638,13152,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1958_52,Late Stuart,2,1958,1963,52,23638,13152,NA,NA,NA,961,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1958_53,Late Stuart,2,1958,1963,53,23638,13152,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1958_62,Late Stuart,2,1958,1964,62,23638,13152,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,2,NA,Include,Include
Late Stuart_1958_63,Late Stuart,2,1958,1964,63,23638,13152,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,2,NA,Include,Include
Late Stuart_1958_64,Late Stuart,2,1958,1964,64,23638,13152,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,2,NA,Include,Include
Late Stuart_1958_72,Late Stuart,2,1958,1965,72,23638,13152,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1959_21,Late Stuart,2,1959,1961,21,8225,4090,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1959_31,Late Stuart,2,1959,1962,31,8225,4090,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1959_32,Late Stuart,2,1959,1962,32,8225,4090,NA,NA,NA,67,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1959_41,Late Stuart,2,1959,1963,41,8225,4090,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1959_42,Late Stuart,2,1959,1963,42,8225,4090,NA,NA,NA,6092,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1959_43,Late Stuart,2,1959,1963,43,8225,4090,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1959_51,Late Stuart,2,1959,1964,51,8225,4090,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,2,NA,Include,Include
Late Stuart_1959_52,Late Stuart,2,1959,1964,52,8225,4090,NA,NA,NA,1233,NA,NA,NA,post-DBE,NA,2,NA,Include,Include
Late Stuart_1959_53,Late Stuart,2,1959,1964,53,8225,4090,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,2,NA,Include,Include
Late Stuart_1959_62,Late Stuart,2,1959,1965,62,8225,4090,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1959_63,Late Stuart,2,1959,1965,63,8225,4090,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1959_64,Late Stuart,2,1959,1965,64,8225,4090,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1959_72,Late Stuart,2,1959,1966,72,8225,4090,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1960_21,Late Stuart,2,1960,1962,21,2961,1307,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1960_31,Late Stuart,2,1960,1963,31,2961,1307,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1960_32,Late Stuart,2,1960,1963,32,2961,1307,NA,NA,NA,27,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1960_41,Late Stuart,2,1960,1964,41,2961,1307,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,2,NA,Include,Include
Late Stuart_1960_42,Late Stuart,2,1960,1964,42,2961,1307,NA,NA,NA,6658,NA,NA,NA,post-DBE,NA,2,NA,Include,Include
Late Stuart_1960_43,Late Stuart,2,1960,1964,43,2961,1307,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,2,NA,Include,Include
Late Stuart_1960_51,Late Stuart,2,1960,1965,51,2961,1307,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1960_52,Late Stuart,2,1960,1965,52,2961,1307,NA,NA,NA,2932,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1960_53,Late Stuart,2,1960,1965,53,2961,1307,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1960_62,Late Stuart,2,1960,1966,62,2961,1307,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1960_63,Late Stuart,2,1960,1966,63,2961,1307,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1960_64,Late Stuart,2,1960,1966,64,2961,1307,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1960_72,Late Stuart,2,1960,1967,72,2961,1307,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1961_21,Late Stuart,2,1961,1963,21,411105,194461,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1961_31,Late Stuart,2,1961,1964,31,411105,194461,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,2,NA,Include,Include
Late Stuart_1961_32,Late Stuart,2,1961,1964,32,411105,194461,NA,NA,NA,143,NA,NA,NA,post-DBE,NA,2,NA,Include,Include
Late Stuart_1961_41,Late Stuart,2,1961,1965,41,411105,194461,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1961_42,Late Stuart,2,1961,1965,42,411105,194461,NA,NA,NA,770385,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1961_43,Late Stuart,2,1961,1965,43,411105,194461,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1961_51,Late Stuart,2,1961,1966,51,411105,194461,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1961_52,Late Stuart,2,1961,1966,52,411105,194461,NA,NA,NA,7535,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1961_53,Late Stuart,2,1961,1966,53,411105,194461,NA,NA,NA,415,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1961_62,Late Stuart,2,1961,1967,62,411105,194461,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1961_63,Late Stuart,2,1961,1967,63,411105,194461,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1961_64,Late Stuart,2,1961,1967,64,411105,194461,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1961_72,Late Stuart,2,1961,1968,72,411105,194461,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1962_21,Late Stuart,2,1962,1964,21,18689,9073,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,2,NA,Include,Include
Late Stuart_1962_31,Late Stuart,2,1962,1965,31,18689,9073,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1962_32,Late Stuart,2,1962,1965,32,18689,9073,NA,NA,NA,45,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1962_41,Late Stuart,2,1962,1966,41,18689,9073,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1962_42,Late Stuart,2,1962,1966,42,18689,9073,NA,NA,NA,43107,NA,NA,NA,historical,NA,2,NA,Include,Include
